FuelType,ElectricFuelConsumption,NetGeneration
Hydro,"6,484,150","656,025"
Hydro,"3,440,216","348,059"
Hydro,"4,337,988","438,890"
Hydro,0,0
Hydro,0,"465,360"
Hydro,"1,906,367","192,874"
Hydro,"4,824,371","488,099"
Hydro,"2,960,072","299,481"
Hydro,"4,477,720","453,027"
Hydro,"756,610","76,549"
Hydro,"4,543,024","459,634"
Hydro,"5,483,495","554,785"
Hydro,"12,440,665","1,258,667"
Hydro,0,0
Hydro,"1,728,673","174,264"
Hydro,0,0
Hydro,"2,560,639","259,069"
Hydro,"4,687,666","474,268"
Hydro,"1,788,807","180,900"
Hydro,"3,408,744","344,875"
Hydro,"14,183,835","1,435,030"
Hydro,0,"5,936"
Hydro,"4,320,652","437,136"
Hydro,0,"-214,142"
Hydro,"2,174,846","220,037"
Hydro,"2,448,565","247,730"
Hydro,"8,759,722","886,253"
Hydro,"3,950,812","399,664"
Hydro,0,"-243,813"
Hydro,"3,474,126","351,490"
Hydro,"2,660,763","269,199"
Hydro,"804,648","81,409"
Hydro,"1,476,292","149,362"
Hydro,"4,097,917","414,601"
Hydro,"73,030,925","7,388,804"
Hydro,"11,043,999","1,117,362"
Hydro,0,0
Hydro,0,0
Petroleum,"5,536",331
Petroleum,"151,605","10,934"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Other,"1,770,781","96,849"
Other,"1,431,438","90,571"
Gas,"80,127","4,872"
Gas,"2,263,213","196,957"
Gas,"6,881,353","533,396"
Gas,"2,512,349","256,353"
Gas,0,0
Gas,0,0
Gas,"27,299,172","3,681,858"
Gas,"7,186,599","704,372"
Gas,"2,617,288","213,866"
Gas,"7,011,187","641,668"
Gas,"6,611",395
Gas,"9,651,577","731,262"
Gas,"6,959,759","590,991"
Gas,"19,000,480","1,718,183"
Gas,"19,161","18,573"
Gas,"803,599","42,064"
Gas,"29,306",783
Gas,"6,093,081","506,286"
Gas,"5,902,743","474,842"
Gas,"11,723,229","1,046,281"
Gas,"560,235","34,377"
Gas,"93,975","5,092"
Gas,"3,452,904","300,628"
Gas,"3,506,890","292,059"
Gas,"7,320,435","679,518"
Gas,"653,471","2,234,823"
Gas,"43,209,138","3,514,848"
Gas,0,"12,768"
Gas,"170,921","10,097"
